"PK_ID";"EMAIL";"FIRSTNAME";"LASTNAME";"LOCATION";"LIKES_TIRAMISU"
"2";"hera.lindberg@kunlun-mountain.com";"Hera";"Lindberg";"Kunlun Mountain";"FALSE"
"4";"venus.danielsson@scholomance.com";"Venus";"Danielsson";"Scholomance";"FALSE"
"5";"minerva.nilsson@brahmapura.com";"Minerva";"Nilsson";"Brahmapura";"FALSE"
"7";"bacchus.bjoerk@diyu.com";"Bacchus";"Bjoerk";"Diyu";"FALSE"
"9";"artemis.olofsson@nysa.com";"Artemis";"Olofsson";"Nysa";"FALSE"
"11";"persephone.axelsson@kitezh.com";"Persephone";"Axelsson";"Kitezh";"FALSE"
"14";"athena.karlsson@westernesse.com";"Athena";"Karlsson";"Westernesse";"FALSE"
"15";"neptune.eriksson@la-ciudad-blanca.com";"Neptune";"Eriksson";"La Ciudad Blanca";"FALSE"
"16";"venus.eklund@garden-of-eden.com";"Venus";"Eklund";"Garden of Eden";"FALSE"
"17";"uranus.holmberg@summerland.com";"aaaUranus";"Holmberg";"Summerland";"FALSE"
"19";"sol.olofsson@avalon.com";"Sol";"Olofsson";"Avalon";"FALSE"
"20";"hypnos.karlsson@alfheim.com";"Hypnos";"Karlsson";"Alfheim";"FALSE"
"24";"uranus.karlsson@kingdom-of-reynes.com";"Uranus";"Karlsson";"Kingdom of Reynes";"FALSE"
"25";"odysseus.blomqvist@niflhel.com";"Odysseus";"Blomqvist";"Niflhel";"FALSE"
"27";"victoria.axelsson@lintukoto.com";"Victoria";"Axelsson";"Lintukoto";"FALSE"
"28";"ulysses.lindstroem@ffaraon.com";"Ulysses";"Lindstroem";"Ffaraon";"FALSE"
"29";"selene.bjoerk@new-jerusalem.com";"Selene";"Bjoerk";"New Jerusalem";"FALSE"
"30";"mercury.lundgren@xanadu.com";"Mercury";"Lundgren";"Xanadu";"FALSE"
"36";"uranus.fredriksson@naraka.com";"Uranus";"Fredriksson";"Naraka";"FALSE"
"38";"ceres.gunnarsson@avalon.com";"Ceres";"Gunnarsson";"Avalon";"FALSE"
"39";"eos.olofsson@aztlan.com";"Eos";"Olofsson";"Aztlan";"FALSE"
"40";"apollo.eliasson@kvenland.com";"Apollo";"Eliasson";"Kvenland";"FALSE"
"47";"aphrodite.olsson@takama-ga-hara.com";"Aphrodite";"Olsson";"Takama-ga-hara";"FALSE"
"48";"dionysus.lindgren@zion.com";"Dionysus";"Lindgren";"Zion";"FALSE"
"51";"jupiter.axelsson@arcadia.com";"Jupiter";"Axelsson";"Arcadia";"FALSE"
"55";"neptune.loefgren@feather-mountain.com";"Neptune";"Loefgren";"Feather Mountain";"FALSE"
"57";"helios.andersson@pandaemonium.com";"Helios";"Andersson";"Pandaemonium";"FALSE"
"58";"hypnos.gunnarsson@sierra-de-la-plata.com";"Hypnos";"Gunnarsson";"Sierra de la Plata";"FALSE"
"59";"vulcan.viklund@summerland.com";"Vulcan";"Viklund";"Summerland";"FALSE"
"61";"juno.jonsson@svarga.com";"Juno";"Jonsson";"Svarga";"FALSE"
"63";"apollo.jonsson@tir-na-nag.com";"Apollo";"Jonsson";"Tir na nag";"FALSE"
"64";"selene.eliasson@asphodel-meadows.com";"Selene";"Eliasson";"Asphodel Meadows";"FALSE"
"65";"apollo.bergman@thuvaraiyam-pathi.com";"Apollo";"Bergman";"Thuvaraiyam Pathi";"FALSE"
"66";"gaia.fredriksson@pandaemonium.com";"Gaia";"Fredriksson";"Pandaemonium";"FALSE"
"68";"uranus.pettersson@pangaia.com";"Uranus";"Pettersson";"Pangaia";"FALSE"
"73";"vulcan.samuelsson@tir-na-nag.com";"Vulcan";"Samuelsson";"Tir na nag";"FALSE"
"74";"proserpine.holm@pandaemonium.com";"Proserpine";"Holm";"Pandaemonium";"FALSE"
"76";"vulcan.sandberg@hawaiki.com";"Vulcan";"Sandberg";"Hawaiki";"FALSE"
"78";"jupiter.magnusson@jabulqa.com";"Jupiter";"Magnusson";"Jabulqa";"FALSE"
"79";"odysseus.viklund@lintukoto.com";"Odysseus";"Viklund";"Lintukoto";"FALSE"
"83";"faunus.isaksson@tir-na-nag.com";"Faunus";"Isaksson";"Tir na nag";"FALSE"
"88";"juno.larsson@sierra-de-la-plata.com";"Juno";"Larsson";"Sierra de la Plata";"FALSE"
"89";"hera.bjoerklund@shangri-la.com";"Hera";"Bjoerklund";"Shangri-La";"FALSE"
"90";"persephone.nordstroem@suddene.com";"Persephone";"Nordstroem";"Suddene";"FALSE"
"93";"uranus.olsson@sierra-de-la-plata.com";"Uranus";"Olsson";"Sierra de la Plata";"FALSE"
"94";"helios.wikstroem@jabulqa.com";"Helios";"Wikstroem";"Jabulqa";"FALSE"
"95";"jupiter.lindstroem@nibiru.com";"Jupiter";"Lindstroem";"Nibiru";"FALSE"
"96";"pluto.karlsson@xibalba.com";"Pluto";"Karlsson";"Xibalba";"FALSE"
"97";"pluto.karlsson@irkalla.com";"Pluto";"Karlsson";"Irkalla";"FALSE"
"98";"vulcan.jonsson@ayotha-amirtha-gangai.com";"Vulcan";"Jonsson";"Ayotha Amirtha Gangai";"FALSE"
"103";"apollo.persson@panchaia.com";"Apollo";"Persson";"Panchaia";"FALSE"
"104";"juno.bjoerk@kvenland.com";"Juno";"Bjoerk";"Kvenland";"FALSE"
"108";"ares.lundgren@vanaheimr.com";"Ares";"Lundgren";"Vanaheimr";"FALSE"
"110";"hera.berglund@mictlan.com";"Hera";"Berglund";"Mictlan";"FALSE"
"111";"bacchus.eliasson@purgatory.com";"Bacchus";"Eliasson";"Purgatory";"FALSE"
"114";"apollo.karlsson@baltia.com";"Apollo";"Karlsson";"Baltia";"FALSE"
"117";"apollo.holmberg@vaikuntha.com";"Apollo";"Holmberg";"Vaikuntha";"FALSE"
"118";"juno.lindberg@tartarus.com";"Juno";"Lindberg";"Tartarus";"FALSE"
